Pathway_ID,Pathway,Pathway_Hierarchy,Uniprot_IDs,Genes,GO_Annotations,Gene_Count
53,Carbohydrate metabolism,Metabolism > Carbohydrate metabolism,"P00175, P00358, P00359, P00360, P00549, P00560, P00890, P00924, P00925, P00950, P08417, P08679, P09624, P12695, P12709, P14540, P16387, P16451, P17505, P19262, P19414, P19955, P20967, P21375, P21801, P21954, P22133, P23542, P25646, P28241, P28834, P32190, P32191, P32316, P32332, P32419, P32473, P32891, P33303, P33421, P36013, P37298, P38857, P39533, P40530, P40556, P41911, P43635, P46681, P53154, P53157, P53170, P53311, P53312, P53598, P53615, P53889, P53982, Q00711, Q01574, Q04013, Q04401, Q07551, Q08230, Q12031, Q12428, Q12482, Q12511","CYB2, TDH2, TDH3, TDH1, CDC19, PGK1, CIT1, ENO1, ENO2, GPM1, FUM1, CIT2, LPD1, LAT1, PGI1, FBA1, PDA1, PDX1, MDH1, KGD2, ACO1, YMR31, KGD1, OSM1, SDH2, IDP1, MDH2, AAT2, PTC6, IDH2, IDH1, GUT1, GUT2, ACH1, OAC1, MDH3, PDB1, DLD1, SFC1, SDH3, MAE1, SDH4, MPC2, ACO2, PKP1, YIA6, GPD2, CIT3, DLD2, P53154, MPC1, PKP2, MPC3, LSC2, LSC1, NCE103, FMP41, IDP3, SDH1, ACS1, YHM2, SDH7, YDL124W, SDH5, ICL2, PDH1, AGC1, PTC5","GO:0004069 (L-aspartate:2-oxoglutarate aminotransferase activity); GO:0004089 (carbonate dehydratase activity); GO:0004450 (isocitrate dehydrogenase (NADP+) activity); GO:0004458 (D-lactate dehydrogenase (cytochrome) activity); GO:0004460 (L-lactate dehydrogenase (cytochrome) activity); GO:0004634 (phosphopyruvate hydratase activity); GO:0004740 (pyruvate dehydrogenase (acetyl-transferring) kinase activity); GO:0004741 ([pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity); GO:0004743 (pyruvate kinase activity); GO:0005469 (succinate:fumarate antiporter activity); GO:0006071 (glycerol metabolic process); GO:0006083 (acetate metabolic process); GO:0006085 (acetyl-CoA biosynthetic process); GO:0006086 (pyruvate decarboxylation to acetyl-CoA); GO:0006090 (pyruvate metabolic process); GO:0006094 (gluconeogenesis); GO:0006099 (tricarboxylic acid cycle); GO:0006101 (citrate metabolic process); GO:0006103 (2-oxoglutarate metabolic process); GO:0006104 (succinyl-CoA metabolic process); GO:0006107 (oxaloacetate metabolic process); GO:0006111 (regulation of gluconeogenesis); GO:0006842 (tricarboxylic acid transport); GO:0006850 (mitochondrial pyruvate transmembrane transport); GO:0015131 (oxaloacetate transmembrane transporter activity); GO:0015793 (glycerol transmembrane transport); GO:0015810 (aspartate transmembrane transport); GO:0016156 (fumarate reductase (NADH) activity); GO:0019541 (propionate metabolic process); GO:0019629 (propionate catabolic process, 2-methylcitrate cycle); GO:0030060 (L-malate dehydrogenase (NAD+) activity); GO:0042180 (ketone metabolic process)",68
54,Gluconeogenesis,Metabolism > Carbohydrate metabolism > Gluconeogenesis,"P00358, P00359, P00360, P00560, P00924, P00925, P00950, P12709, P14540, P22133, P53615, Q04401","TDH2, TDH3, TDH1, PGK1, ENO1, ENO2, GPM1, PGI1, FBA1, MDH2, NCE103, SDH7",GO:0004089 (carbonate dehydratase activity); GO:0004634 (phosphopyruvate hydratase activity); GO:0006094 (gluconeogenesis); GO:0006111 (regulation of gluconeogenesis),12
55,Malate-aspartate shuttle,Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle,"P23542, P32332, Q12482","AAT2, OAC1, AGC1",GO:0004069 (L-aspartate:2-oxoglutarate aminotransferase activity); GO:0015131 (oxaloacetate transmembrane transporter activity); GO:0015810 (aspartate transmembrane transport),3
56,Glycerol phosphate shuttle,Metabolism > Carbohydrate metabolism > Glycerol phosphate shuttle,"P32190, P32191, P41911, P53154","GUT1, GUT2, GPD2, P53154",GO:0006071 (glycerol metabolic process); GO:0015793 (glycerol transmembrane transport),4
57,Pyruvate metabolism,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,"P00175, P00549, P09624, P12695, P16387, P16451, P25646, P32473, P32891, P36013, P38857, P40530, P40556, P46681, P53157, P53170, P53311, Q01574, Q12511","CYB2, CDC19, LPD1, LAT1, PDA1, PDX1, PTC6, PDB1, DLD1, MAE1, MPC2, PKP1, YIA6, DLD2, MPC1, PKP2, MPC3, ACS1, PTC5",GO:0004458 (D-lactate dehydrogenase (cytochrome) activity); GO:0004460 (L-lactate dehydrogenase (cytochrome) activity); GO:0004740 (pyruvate dehydrogenase (acetyl-transferring) kinase activity); GO:0004741 ([pyruvate dehydrogenase (acetyl-transferring)]-phosphatase activity); GO:0004743 (pyruvate kinase activity); GO:0006085 (acetyl-CoA biosynthetic process); GO:0006086 (pyruvate decarboxylation to acetyl-CoA); GO:0006090 (pyruvate metabolic process); GO:0006850 (mitochondrial pyruvate transmembrane transport),19
58,TCA cycle,Metabolism > Carbohydrate metabolism > TCA cycle,"P00890, P08417, P08679, P09624, P17505, P19262, P19414, P19955, P20967, P21375, P21801, P21954, P22133, P28241, P28834, P32316, P32419, P33303, P33421, P37298, P39533, P43635, P53312, P53598, P53889, P53982, Q00711, Q08230","CIT1, FUM1, CIT2, LPD1, MDH1, KGD2, ACO1, YMR31, KGD1, OSM1, SDH2, IDP1, MDH2, IDH2, IDH1, ACH1, MDH3, SFC1, SDH3, SDH4, ACO2, CIT3, LSC2, LSC1, FMP41, IDP3, SDH1, SDH5",GO:0004450 (isocitrate dehydrogenase (NADP+) activity); GO:0005469 (succinate:fumarate antiporter activity); GO:0006083 (acetate metabolic process); GO:0006099 (tricarboxylic acid cycle); GO:0006101 (citrate metabolic process); GO:0006103 (2-oxoglutarate metabolic process); GO:0006104 (succinyl-CoA metabolic process); GO:0006107 (oxaloacetate metabolic process); GO:0016156 (fumarate reductase (NADH) activity); GO:0030060 (L-malate dehydrogenase (NAD+) activity),28
59,TCA-associated,Metabolism > Carbohydrate metabolism > TCA-associated,"P09624, Q04013","LPD1, YHM2",GO:0004148 (dihydrolipoyl dehydrogenase (NADH) activity); GO:0006842 (tricarboxylic acid transport),2
60,Ketone metabolism,Metabolism > Carbohydrate metabolism > Ketone metabolism,"P32316, Q07551","ACH1, YDL124W",GO:0008775 (acetate CoA-transferase activity); GO:0042180 (ketone metabolic process),2
61,Propanoate metabolism,Metabolism > Carbohydrate metabolism > Propanoate metabolism,"P43635, Q12031, Q12428","CIT3, ICL2, PDH1","GO:0019541 (propionate metabolic process); GO:0019629 (propionate catabolic process, 2-methylcitrate cycle)",3
62,Lipid metabolism,Metabolism > Lipid metabolism,"P19097, P25578, P27796, P28321, P30624, P32419, P32463, P32573, P32874, P35200, P35731, P36023, P38071, P38221, P38295, P38790, P38812, P38880, P39002, P39726, P39940, P40471, P41903, P47912, P53219, P53230, P53264, P53982, P54857, Q02207, Q04458, Q05776, Q06510, Q07560, Q12036, Q12204, Q12283","FAS2, PGS1, POT1, YJU3, FAA1, MDH3, ACP1, SPS19, HFA1, P35200, OAR1, P36023, ETR1, CDS1, EHT1, HTD2, GEP4, MDM31, FAA3, GCV3, RSP5, AYR1, TES1, FAA4, IMO32, TAM41, CLD1, IDP3, TGL2, FOX2, HFD1, Q05776, TAZ1, CRD1, Q12036, YOR022C, MCT1",GO:0001676 (long-chain fatty acid metabolic process); GO:0004314 ([acyl-carrier-protein] S-malonyltransferase activity); GO:0004316 (3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity); GO:0004605 (phosphatidate cytidylyltransferase activity); GO:0004806 (triacylglycerol lipase activity); GO:0006081 (aldehyde metabolic process); GO:0006633 (fatty acid biosynthetic process); GO:0006635 (fatty acid beta-oxidation); GO:0006641 (triglyceride metabolic process); GO:0009062 (fatty acid catabolic process); GO:0009107 (lipoate biosynthetic process); GO:0019171 ((3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity); GO:0019395 (fatty acid oxidation); GO:0019433 (triglyceride catabolic process); GO:0031108 (holo-[acyl-carrier-protein] biosynthetic process); GO:0031405 (lipoic acid binding); GO:0032048 (cardiolipin metabolic process); GO:0032049 (cardiolipin biosynthetic process); GO:0035336 (long-chain fatty-acyl-CoA metabolic process); GO:0042759 (long-chain fatty acid biosynthetic process); GO:0043337 (cardiolipin synthase (CMP-forming)); GO:0045723 (positive regulation of fatty acid biosynthetic process); GO:0051792 (medium-chain fatty acid biosynthetic process); GO:0071400 (cellular response to oleic acid); GO:1900208 (regulation of cardiolipin metabolic process),37
63,Fatty acid oxidation,Metabolism > Lipid metabolism > Fatty acid oxidation,"P27796, P28321, P30624, P32419, P32573, P36023, P38295, P39002, P40471, P41903, P47912, P53219, P53982, P54857, Q02207, Q04458","POT1, YJU3, FAA1, MDH3, SPS19, P36023, EHT1, FAA3, AYR1, TES1, FAA4, IMO32, IDP3, TGL2, FOX2, HFD1",GO:0001676 (long-chain fatty acid metabolic process); GO:0004806 (triacylglycerol lipase activity); GO:0006081 (aldehyde metabolic process); GO:0006635 (fatty acid beta-oxidation); GO:0006641 (triglyceride metabolic process); GO:0009062 (fatty acid catabolic process); GO:0019395 (fatty acid oxidation); GO:0019433 (triglyceride catabolic process); GO:0035336 (long-chain fatty-acyl-CoA metabolic process); GO:0051793 (medium-chain fatty acid catabolic process); GO:0071400 (cellular response to oleic acid),16
64,Type II fatty acid synthesis,Metabolism > Lipid metabolism > Type II fatty acid synthesis,"P19097, P32874, P35731, P38071, P38295, P38790, P39940, Q12036, Q12283","FAS2, HFA1, OAR1, ETR1, EHT1, HTD2, RSP5, Q12036, MCT1",GO:0004314 ([acyl-carrier-protein] S-malonyltransferase activity); GO:0004316 (3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity); GO:0006633 (fatty acid biosynthetic process); GO:0019171 ((3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity); GO:0031108 (holo-[acyl-carrier-protein] biosynthetic process); GO:0042759 (long-chain fatty acid biosynthetic process); GO:0045723 (positive regulation of fatty acid biosynthetic process); GO:0051792 (medium-chain fatty acid biosynthetic process),9
65,Lipoate insertion,Metabolism > Lipid metabolism > Lipoate insertion,"P32463, P39726","ACP1, GCV3",GO:0009107 (lipoate biosynthetic process); GO:0031405 (lipoic acid binding),2
66,Cardiolipin synthesis,Metabolism > Lipid metabolism > Cardiolipin synthesis,"P25578, P35200, P38221, P38812, P38880, P53230, P53264, Q05776, Q06510, Q07560, Q12204","PGS1, P35200, CDS1, GEP4, MDM31, TAM41, CLD1, Q05776, TAZ1, CRD1, YOR022C",GO:0004605 (phosphatidate cytidylyltransferase activity); GO:0032048 (cardiolipin metabolic process); GO:0032049 (cardiolipin biosynthetic process); GO:0043337 (cardiolipin synthase (CMP-forming)); GO:1900208 (regulation of cardiolipin metabolic process),11
67,Amino acid metabolism,Metabolism > Amino acid metabolism,"P00927, P06168, P06208, P07275, P07342, P07991, P09368, P09624, P12695, P18544, P21954, P22768, P25379, P25605, P28241, P28817, P28834, P32331, P33327, P38122, P38169, P38891, P39522, P39726, P39940, P40185, P40360, P40495, P43557, P43567, P46681, P47039, P48015, P49095, P49367, Q01217, Q04728, Q05867, Q07534, Q07938, Q12029, Q12166, Q12375","ILV1, ILV5, LEU4, PUT2, ILV2, CAR2, P09368, LPD1, LAT1, ARG8, IDP1, ARG1, P25379, ILV6, IDH2, EHD3, IDH1, YMC1, GDH2, ECM31, BNA4, BAT1, ILV3, GCV3, RSP5, MMF1, ARG2, LYS12, FMP32, AGX1, DLD2, BNA3, GCV1, GCV2, LYS4, ARG5,6, ARG7, YLR283W, YDL119C, MEU1, FSF1, LEU9, ORT1","GO:0003860 (3-hydroxyisobutyryl-CoA hydrolase activity); GO:0003864 (3-methyl-2-oxobutanoate hydroxymethyltransferase activity); GO:0004352 (glutamate dehydrogenase (NAD+) activity); GO:0004742 (dihydrolipoyllysine-residue acetyltransferase activity); GO:0006526 (L-arginine biosynthetic process); GO:0006537 (glutamate biosynthetic process); GO:0006544 (glycine metabolic process); GO:0006546 (glycine catabolic process); GO:0006565 (L-serine catabolic process); GO:0006591 (ornithine metabolic process); GO:0006592 (ornithine biosynthetic process); GO:0009082 (branched-chain amino acid biosynthetic process); GO:0009083 (branched-chain amino acid catabolic process); GO:0009097 (isoleucine biosynthetic process); GO:0009098 (L-leucine biosynthetic process); GO:0010133 (proline catabolic process to glutamate); GO:0015187 (glycine transmembrane transporter activity); GO:0019265 (glycine biosynthetic process, by transamination of glyoxylate); GO:0019878 (lysine biosynthetic process via aminoadipic acid); GO:0047046 (homoisocitrate dehydrogenase activity); GO:0047536 (2-aminoadipate transaminase activity); GO:0051990 ((R)-2-hydroxyglutarate dehydrogenase activity); GO:0070189 (kynurenine metabolic process); GO:0140300 (serine import into mitochondrion); GO:1903577 (cellular response to L-arginine); GO:2000214 (regulation of proline metabolic process)",43
68,Branched-chain amino acid metabolism,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,"P00927, P06168, P06208, P07342, P09624, P25605, P28817, P38122, P38891, P39522, P40185, Q12166","ILV1, ILV5, LEU4, ILV2, LPD1, ILV6, EHD3, ECM31, BAT1, ILV3, MMF1, LEU9",GO:0003860 (3-hydroxyisobutyryl-CoA hydrolase activity); GO:0003864 (3-methyl-2-oxobutanoate hydroxymethyltransferase activity); GO:0006574 (valine catabolic process); GO:0009082 (branched-chain amino acid biosynthetic process); GO:0009083 (branched-chain amino acid catabolic process); GO:0009097 (isoleucine biosynthetic process); GO:0009098 (L-leucine biosynthetic process),12
69,Branched-chain amino acid dehydrogenase complex,Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,P12695,LAT1,GO:0004742 (dihydrolipoyllysine-residue acetyltransferase activity),1
70,Lysine metabolism,Metabolism > Amino acid metabolism > Lysine metabolism,"P40495, P47039, P49367","LYS12, BNA3, LYS4",GO:0019878 (lysine biosynthetic process via aminoadipic acid); GO:0047046 (homoisocitrate dehydrogenase activity); GO:0047536 (2-aminoadipate transaminase activity),3
71,Serine metabolism,Metabolism > Amino acid metabolism > Serine metabolism,"P09624, P25379, Q12029","LPD1, P25379, FSF1",GO:0006564 (L-serine biosynthetic process); GO:0006565 (L-serine catabolic process); GO:0140300 (serine import into mitochondrion),3
72,Glycine metabolism,Metabolism > Amino acid metabolism > Glycine metabolism,"P09624, P32331, P39726, P43567, P48015, P49095, Q07534","LPD1, YMC1, GCV3, AGX1, GCV1, GCV2, YDL119C","GO:0006544 (glycine metabolic process); GO:0006546 (glycine catabolic process); GO:0015187 (glycine transmembrane transporter activity); GO:0019265 (glycine biosynthetic process, by transamination of glyoxylate)",7
73,Glycine cleavage system,Metabolism > Amino acid metabolism > Glycine metabolism > Glycine cleavage system,"P09624, P39726, P48015","LPD1, GCV3, GCV1",GO:0005960 (glycine cleavage complex),3
74,Glycine cleavage system,Metabolism > Amino acid metabolism > Glycine cleavage system,"P09624, P49095","LPD1, GCV2",GO:0004375 (glycine dehydrogenase (decarboxylating) activity); GO:0019464 (glycine decarboxylation via glycine cleavage system),2
75,Glutamate metabolism,Metabolism > Amino acid metabolism > Glutamate metabolism,"P07275, P21954, P28241, P28834, P33327, P46681, Q01217, Q07938","PUT2, IDP1, IDH2, IDH1, GDH2, DLD2, ARG5,6, MEU1",GO:0003942 (N-acetyl-gamma-glutamyl-phosphate reductase activity); GO:0004352 (glutamate dehydrogenase (NAD+) activity); GO:0006537 (glutamate biosynthetic process); GO:0051990 ((R)-2-hydroxyglutarate dehydrogenase activity),8
76,Proline metabolism,Metabolism > Amino acid metabolism > Proline metabolism,"P07275, P09368, P43557, Q05867","PUT2, P09368, FMP32, YLR283W",GO:0010133 (proline catabolic process to glutamate); GO:2000214 (regulation of proline metabolic process),4
77,Kynurenine metabolism,Metabolism > Amino acid metabolism > Kynurenine metabolism,"P38169, P47039","BNA4, BNA3",GO:0034276 (kynurenic acid biosynthetic process); GO:0070189 (kynurenine metabolic process),2
78,Urea cycle,Metabolism > Amino acid metabolism > Urea cycle,"P07991, P18544, P22768, P39940, P40360, Q01217, Q04728, Q12375","CAR2, ARG8, ARG1, RSP5, ARG2, ARG5,6, ARG7, ORT1",GO:0006526 (L-arginine biosynthetic process); GO:0006591 (ornithine metabolic process); GO:0006592 (ornithine biosynthetic process); GO:1903577 (cellular response to L-arginine),8
79,Nucleotide metabolism,Metabolism > Nucleotide metabolism,"P07170, P12689, P15454, P26364, P27616, P36010, P38127, P38988, P43122, P49775, P53088, Q01976, Q04344, Q12208, Q12524","ADK1, P12689, GUK1, P26364, ADE1, YNK1, RIM2, GGC1, QRI7, HNT2, P53088, YSA1, HNT1, USB1, PCD1","GO:0001409 (guanine nucleotide transmembrane transporter activity); GO:0006164 (purine nucleotide biosynthetic process); GO:0006864 (pyrimidine nucleotide transport); GO:0008252 (nucleotidase activity); GO:0008413 (8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity); GO:0008663 (2',3'-cyclic-nucleotide 2'-phosphodiesterase activity); GO:0009117 (nucleotide metabolic process); GO:0009142 (nucleoside triphosphate biosynthetic process); GO:0009164 (nucleoside catabolic process); GO:0016779 (nucleotidyltransferase activity); GO:0017125 (deoxycytidyl transferase activity); GO:0019693 (ribose phosphate metabolic process); GO:0046711 (GDP biosynthetic process)",15
80,Nucleotide import,Metabolism > Nucleotide metabolism > Nucleotide import,"P38127, P38988","RIM2, GGC1",GO:0001409 (guanine nucleotide transmembrane transporter activity); GO:0006864 (pyrimidine nucleotide transport),2
81,Nucleotide synthesis and processing,Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,"P07170, P12689, P15454, P26364, P27616, P36010, P43122, P49775, P53088, Q01976, Q04344, Q12208, Q12524","ADK1, P12689, GUK1, P26364, ADE1, YNK1, QRI7, HNT2, P53088, YSA1, HNT1, USB1, PCD1","GO:0006164 (purine nucleotide biosynthetic process); GO:0008252 (nucleotidase activity); GO:0008413 (8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity); GO:0008663 (2',3'-cyclic-nucleotide 2'-phosphodiesterase activity); GO:0009117 (nucleotide metabolic process); GO:0009142 (nucleoside triphosphate biosynthetic process); GO:0009164 (nucleoside catabolic process); GO:0016779 (nucleotidyltransferase activity); GO:0017125 (deoxycytidyl transferase activity); GO:0019693 (ribose phosphate metabolic process); GO:0046711 (GDP biosynthetic process)",13
82,Metals and cofactors,Mitochondrial central dogma > Metabolism > Metals and cofactors,"P00359, P38884, P38885, P47008","TDH3, AIM18, AIM46, SFH5",GO:0020037 (heme binding),4
83,Metals and cofactors,Metabolism > Metals and cofactors,"O13525, P00359, P00445, P04710, P09950, P10566, P16622, P18239, P18900, P19414, P19516, P21592, P23500, P23833, P25374, P27680, P27697, P27882, P29509, P31116, P32266, P32316, P32331, P32378, P32463, P32796, P32860, P35999, P36046, P36056, P36059, P36064, P36152, P38072, P38122, P38169, P38797, P38988, P39722, P39724, P39940, P40012, P40035, P40086, P40165, P40202, P40416, P41735, P46367, P48360, P49017, P53193, P53318, P53320, P54115, P54861, P80235, Q01574, Q02784, Q03020, Q03218, Q03941, Q04458, Q05779, Q05892, Q05931, Q06892, Q07534, Q07540, Q07807, Q07821, Q08058, Q08970, Q12056, Q12181, Q12184, Q12287, Q12289, Q12425, Q12524, Q3E731, Q3E785, Q3E793, Q3E846, Q6Q560","COQ4, TDH3, SOD1, AAC1, HEM1, MRS3, HEM15, P18239, COQ1, ACO1, COX11, COX10, MRS4, SCO1, NFS1, COQ3, COQ8, ERV1, TRR1, HOM6, MGM1, ACH1, YMC1, COQ2, ACP1, CAT2, NFU1, OCT1, MIA40, RSM22, YKL151C, CMC1, P36152, SCO2, ECM31, BNA4, PTC7, GGC1, GEM1, AIM1, RSP5, HEM14, PIC2, COX15, YNL200C, CCS1, ATM1, CAT5, ALD4, ARH1, COQ5, JAC1, COQ6, MTM1, ALD6, P54861, P80235, ACS1, GRX5, ISU1, MMT1, CAB5, HFD1, COQ9, YLR290C, SSQ1, POS5, YDL119C, YFH1, Q07807, ISA1, COQ10, MMT2, ISU2, Q12181, YAH1, COX17, CRC1, ISA2, PCD1, COX19, SDH6, YAL044W-A, COA6, ISD11","GO:0003986 (acetyl-CoA hydrolase activity); GO:0003987 (acetate-CoA ligase activity); GO:0004092 (carnitine O-acetyltransferase activity); GO:0005476 (carnitine:O-acyl-L-carnitine antiporter activity); GO:0005507 (copper ion binding); GO:0006740 (NADPH regeneration); GO:0006741 (NADP biosynthetic process); GO:0006744 (ubiquinone biosynthetic process); GO:0006783 (heme biosynthetic process); GO:0006784 (heme A biosynthetic process); GO:0006825 (copper ion transport); GO:0006878 (intracellular copper ion homeostasis); GO:0006879 (intracellular iron ion homeostasis); GO:0008198 (ferrous iron binding); GO:0009437 (carnitine metabolic process); GO:0010795 (regulation of ubiquinone biosynthetic process); GO:0010945 (coenzyme A diphosphatase activity); GO:0015886 (heme transport); GO:0015937 (coenzyme A biosynthetic process); GO:0015940 (pantothenate biosynthetic process); GO:0016226 (iron-sulfur cluster assembly); GO:0019674 (NAD metabolic process); GO:0046496 (nicotinamide nucleotide metabolic process); GO:0048250 (iron import into the mitochondrion); GO:0051536 (iron-sulfur cluster binding); GO:0051537 (2 iron, 2 sulfur cluster binding); GO:0051539 (4 iron, 4 sulfur cluster binding); GO:0070403 (NAD+ binding); GO:1904775 (positive regulation of ubiquinone biosynthetic process)",85
84,Carnitine synthesis and transport,Metabolism > Metals and cofactors > Carnitine synthesis and transport,"P32796, P80235, Q12289","CAT2, P80235, CRC1",GO:0009437 (carnitine metabolic process); GO:1902603 (carnitine transmembrane transport),3
85,Carnitine shuttle,Metabolism > Metals and cofactors > Carnitine shuttle,"P32796, Q12289","CAT2, CRC1",GO:0004092 (carnitine O-acetyltransferase activity); GO:0005476 (carnitine:O-acyl-L-carnitine antiporter activity),2
86,Coenzyme A metabolism,Metabolism > Metals and cofactors > Coenzyme A metabolism,"P32316, P38122, Q01574, Q03941, Q12524","ACH1, ECM31, ACS1, CAB5, PCD1",GO:0003986 (acetyl-CoA hydrolase activity); GO:0003987 (acetate-CoA ligase activity); GO:0010945 (coenzyme A diphosphatase activity); GO:0015937 (coenzyme A biosynthetic process); GO:0015940 (pantothenate biosynthetic process),5
87,Coenzyme Q metabolism,Metabolism > Metals and cofactors > Coenzyme Q metabolism,"O13525, P18900, P27680, P27697, P32378, P38797, P39940, P41735, P48360, P49017, P53318, Q04458, Q05779, Q05892, Q07807, Q08058, Q12184","COQ4, COQ1, COQ3, COQ8, COQ2, PTC7, RSP5, CAT5, ARH1, COQ5, COQ6, HFD1, COQ9, YLR290C, Q07807, COQ10, YAH1",GO:0006744 (ubiquinone biosynthetic process); GO:0010795 (regulation of ubiquinone biosynthetic process); GO:1904775 (positive regulation of ubiquinone biosynthetic process),17
88,Copper metabolism,Metabolism > Metals and cofactors > Copper metabolism,"P00445, P19516, P23833, P36064, P38072, P40035, P40202, Q12287, Q3E731, Q3E846","SOD1, COX11, SCO1, CMC1, SCO2, PIC2, CCS1, COX17, COX19, COA6",GO:0005507 (copper ion binding); GO:0006825 (copper ion transport); GO:0006878 (intracellular copper ion homeostasis),10
89,Iron homeostasis,Signaling > Iron homeostasis,"P32598, P38880, Q07560, Q12171","GLC7, MDM31, CRD1, MDM32",GO:0006873 (intracellular monoatomic ion homeostasis),4
90,Iron homeostasis,Metabolism > Metals and cofactors > Iron homeostasis,"P10566, P23500, P25374, P27882, P29509, P35999, P38988, P39724, P40416, P48360, P53193, P53320, Q02784, Q03020, Q03218, Q05931, Q07540, Q07821, Q08970, Q12056, Q12425, Q3E793","MRS3, MRS4, NFS1, ERV1, TRR1, OCT1, GGC1, AIM1, ATM1, ARH1, JAC1, MTM1, GRX5, ISU1, MMT1, SSQ1, YFH1, ISA1, MMT2, ISU2, ISA2, YAL044W-A",GO:0005506 (iron ion binding); GO:0006879 (intracellular iron ion homeostasis); GO:0008198 (ferrous iron binding); GO:0010040 (response to iron(II) ion); GO:0048250 (iron import into the mitochondrion); GO:0140466 (iron-sulfur cluster export from the mitochondrion),22
91,Heme synthesis and processing,Metabolism > Metals and cofactors > Heme synthesis and processing,"P00359, P04710, P09950, P16622, P18239, P21592, P32266, P32331, P39722, P40012, P40086, P54861, Q07534, Q12184","TDH3, AAC1, HEM1, HEM15, P18239, COX10, MGM1, YMC1, GEM1, HEM14, COX15, P54861, YDL119C, YAH1",GO:0006783 (heme biosynthetic process); GO:0006784 (heme A biosynthetic process); GO:0015886 (heme transport),14
92,Fe-S cluster biosynthesis,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,"P25374, P32463, P32860, P36152, P39724, P40416, P53193, Q02784, Q03020, Q05931, Q06892, Q07540, Q07821, Q12056, Q12181, Q12184, Q12425, Q3E785, Q3E793, Q6Q560","NFS1, ACP1, NFU1, P36152, AIM1, ATM1, JAC1, GRX5, ISU1, SSQ1, POS5, YFH1, ISA1, ISU2, Q12181, YAH1, ISA2, SDH6, YAL044W-A, ISD11",GO:0016226 (iron-sulfur cluster assembly),20
93,NAD biosynthesis and metabolism,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,"P31116, P36059, P38169, P40165, P46367, P54115, Q06892","HOM6, YKL151C, BNA4, YNL200C, ALD4, ALD6, POS5",GO:0006740 (NADPH regeneration); GO:0006741 (NADP biosynthetic process); GO:0019674 (NAD metabolic process); GO:0046496 (nicotinamide nucleotide metabolic process); GO:0070403 (NAD+ binding),7
94,Fe-S-containing proteins,Metabolism > Metals and cofactors > Fe-S-containing proteins,"P19414, P36046, P36056, P36152, Q02784, Q12184","ACO1, MIA40, RSM22, P36152, GRX5, YAH1","GO:0051536 (iron-sulfur cluster binding); GO:0051537 (2 iron, 2 sulfur cluster binding); GO:0051539 (4 iron, 4 sulfur cluster binding)",6
95,Heme-containing proteins,Mitochondrial central dogma > Metabolism > Metals and cofactors > Heme-containing proteins,"P00359, P38884, P38885, P47008","TDH3, AIM18, AIM46, SFH5",GO:0020037 (heme binding),4
96,Vitamin metabolism,Mitochondrial central dogma > Metabolism > Vitamin metabolism,P21375,OSM1,GO:0046443 (FAD metabolic process),1
97,Vitamin metabolism,Metabolism > Vitamin metabolism,"P05694, P07807, P09440, P37292, P38075, P40099, P50861, P52893, P53257, P53320, P53848, P54783, Q03778, Q08230, Q08645, Q12486, Q12676, Q99258","MET6, DFR1, MIS1, SHM1, PDX3, FAU1, RIB4, ALT1, TPC1, MTM1, FOL1, ALO1, Q03778, SDH5, MET7, YOR131C, FOL3, RIB3","GO:0003871 (5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity); GO:0004326 (tetrahydrofolylpolyglutamate synthase activity); GO:0004372 (glycine hydroxymethyltransferase activity); GO:0009231 (riboflavin biosynthetic process); GO:0009396 (folic acid-containing compound biosynthetic process); GO:0009398 (FMN biosynthetic process); GO:0010181 (FMN binding); GO:0018293 (protein-FAD linkage); GO:0030170 (pyridoxal phosphate binding); GO:0033883 (pyridoxal phosphatase activity); GO:0046654 (tetrahydrofolate biosynthetic process); GO:0046656 (folic acid biosynthetic process); GO:0070485 (dehydro-D-arabinono-1,4-lactone biosynthetic process); GO:1990545 (mitochondrial thiamine pyrophosphate transmembrane transport)",18
98,Vitamin B1 metabolism,Metabolism > Vitamin metabolism > Vitamin B1 metabolism,P53257,TPC1,GO:1990545 (mitochondrial thiamine pyrophosphate transmembrane transport),1
99,Vitamin B2 metabolism,Mitochondrial central dogma > Metabolism > Vitamin metabolism > Vitamin B2 metabolism,P21375,OSM1,GO:0046443 (FAD metabolic process),1
