Gene,ORF,UniprotID,Protein description,SNson/PELson       (average)         ,SNcarb/PELcarb  (average)          ,Yeast / Mito,Soluble,Peripheral,Integral,Ambiguous,L sol,L per,L int,Outer membrane,Inner membrane,Inter-membrane space,Matrix,,,,max
MRPS18,YNL306W,P42847,"Mitochondrial ribosomal protein of the small subunit; essential for viability, unlike most other mitoribosomal proteins",1.22,8.54,0.04,,X,,,0,0.95,0,,X,,,,,,95%
MRPS28,YDR337W,P21771,Mitochondrial ribosomal protein of the small subunit,3.69,11.09,0.25,X,,,,0.69,0.22,0,,,,X,,,,69%
MRPS35,YGR165W,P53292,"Mitochondrial ribosomal protein of the small subunit; null mutant does not grow on glycerol, is sensitive to 2,4-dichlorophenol, and accumulates large lipid droplets",1.25,11.46,0.53,,X,,,0,0.97,0,,X,,,,,,97%
MRPS5,YBR251W,P33759,Mitochondrial ribosomal protein of the small subunit,0.91,12.6,0.42,,X,,,0,0.97,0,,X,,,,,,97%
MRPS8,YMR158W,Q03799,Mitochondrial ribosomal protein of the small subunit,1.79,12.54,0.05,,X,,,0.03,0.93,0,,X,,,,,,93%
MRPS9,YBR146W,P38120,Mitochondrial ribosomal protein of the small subunit,1.67,3.81,0.23,,,,X,0,0.26,0,,,,,,,,26%
MRS1,YIR021W,P07266,"Splicing protein; required for splicing of two mitochondrial group I introns (BI3 in COB and AI5beta in COX1); forms a splicing complex, containing four subunits of Mrs1p and two subunits of the BI3-encoded maturase, that binds to the BI3 RNA; MRS1 has a paralog, CCE1, that arose from the whole genome duplication",0.88,11.8,0.14,,X,,,0,0.97,0,,X,,,,,,97%
MRS3,YJL133W,P10566,"Iron transporter, mediates Fe2+ transport across inner mito membrane; mitochondrial carrier family member; active under low-iron conditions; may transport other cations; MRS3 has a paralog, MRS4, that arose from the whole genome duplication",0.22,0.2,0,,,X,,0,0,0.96,,X,,,,,,96%
MRS4,YKR052C,P23500,"Iron transporter of the mitochondrial carrier family; mediates Fe2+ transport across the inner mitochondrial membrane; active under low-iron conditions; may transport other cations; protein abundance increases in response to DNA replication stress; MRS4 has a paralog, MRS3, that arose from the whole genome duplication",0.17,0.17,0,,,X,,0,0,0.93,,X,,,,,,93%
MSC1,YML128C,Q03104,"Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria and is phosphorylated",1.23,9.98,58.22,,X,,,0,0.96,0,,X,,,,,,96%
MSC3,YLR219W,Q05812,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; msc3 mutants are defective in directing meiotic recombination events to homologous chromatids; potential Cdc28p substrate; protein abundance increases in response to DNA replication stress,10.73,2.72,12.85,,,,X,0,0,0,,,,,,,,0%
MSC6,YOR354C,Q08818,"Protein of unknown function; mutant is defective in directing meiotic recombination events to homologous chromatids; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",1.78,10.83,0.15,,X,,,0.02,0.93,0,,X,,,,,,93%
MSC7,YHR039C,P38694,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic reticulum; msc7 mutants are defective in directing meiotic recombination events to homologous chromatids,0.39,0.23,2.1,,,X,,0,0,0.97,X,,,,,,,97%
MSD1,YPL104W,P15179,"Mitochondrial aspartyl-tRNA synthetase; required for acylation of aspartyl-tRNA; yeast and bacterial aspartyl-, asparaginyl-, and lysyl-tRNA synthetases contain regions with high sequence similarity, suggesting a common ancestral gene",9.97,8.08,0.25,X,,,,0.9,0,0,,,,X,,,,90%
MSE1,YOL033W,P48525,Mitochondrial glutamyl-tRNA synthetase; predicted to be palmitoylated,1,3.81,0.06,,,,X,0,0.6,0.05,,,,,,,,60%
MSF1,YPR047W,P08425,"Mitochondrial phenylalanyl-tRNA synthetase; active as a monomer, unlike the cytoplasmic subunit which is active as a dimer complexed to a beta subunit dimer; similar to the alpha subunit of E. coli phenylalanyl-tRNA synthetase",4.83,6.59,0.1,X,,,,0.59,0.03,0,,,,X,,,,59%
MSH1,YHR120W,P25846,DNA-binding protein of the mitochondria; involved in repair of mitochondrial DNA; has ATPase activity and binds to DNA mismatches; has homology to E. coli MutS; transcription is induced during meiosis,0.5,5.94,0,,X,,,0,0.92,0.03,,X,,,,,,92%
MSK1,YNL073W,P32048,Mitochondrial lysine-tRNA synthetase; required for import of both aminoacylated and deacylated forms of tRNA(Lys) into mitochondria and for aminoacylation of mitochondrially encoded tRNA(Lys),1.93,4.41,0.15,,,,X,0,0.32,0,,,,,,,,32%
MSM1,YGR171C,P22438,Mitochondrial methionyl-tRNA synthetase (MetRS); functions as a monomer in mitochondrial protein synthesis; functions similarly to cytoplasmic MetRS although the cytoplasmic form contains a zinc-binding domain not found in Msm1p,2.02,7.49,0.23,,X,,,0.03,0.8,0,,X,,,,,,80%
MSP1,YGR028W,P28737,"Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins, ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain",0.39,1.68,0.19,,,X,,0,0.01,0.87,X,,,,,,,87%
MSR1,YHR091C,P38714,"Mitochondrial arginyl-tRNA synthetase; mutations in human ortholog are associated with pontocerebellar hypoplasia type 6; MSR1 has a paralog, YDR341C, that arose from the whole genome duplication",0.98,2.43,0.33,,,,X,0,0.09,0.24,,,,,,,,24%
MSS1,YMR023C,P32559,Mitochondrial protein; forms a heterodimer complex with Mto1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; similar to human GTPBP3,0.54,3.67,0.11,,X,,,0,0.65,0.2,,X,,,,,,65%
MSS116,YDR194C,P15424,Mitochondrial transcription elongation factor; DEAD-box protein; required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing; promotes RNA folding by stabilizing an early assembly intermediate,0.77,13.02,0.16,,X,,,0,0.97,0,,X,,,,,,97%
MSS18,YPR134W,P08593,Nuclear encoded protein needed for splicing of mitochondrial intron; required for efficient splicing of mitochondrial COX1 aI5beta intron; mss18 mutations block cleavage of 5' exon - intron junction; phenotype of intronless strain suggests additional functions,1,6.23,0,,X,,,0,0.92,0,,X,,,,,,92%
MSS2,YDL107W,P40990,"Peripherally bound inner membrane protein of the mitochondrial matrix; involved in membrane insertion of C-terminus of Cox2p, interacts genetically and physically with Cox18p",0.16,16.58,0,,X,,,0,0.35,0,,X,,,,,,35%
MSS51,YLR203C,P32335,"Specific translational activator for the mitochondrial COX1 mRNA; loosely associated with the matrix face of the mitochondrial inner membrane; localizes to vacuole membrane in response to H2O2; influences both COX1 mRNA translation and Cox1p assembly into cytochrome c oxidase; binds to heme B, which may be a mechanism for sensing oxygen levels in order to regulate cytochrome c oxidase biogenesis",0.6,20.95,0.31,,X,,,0,0.93,0,,X,,,,,,93%
MST1,YKL194C,P07236,"Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr",4.86,7.84,0.1,X,,,,0.78,0.04,0,,,,X,,,,78%
MSW1,YDR268W,P04803,Mitochondrial tryptophanyl-tRNA synthetase,2.16,5.03,0.13,,,,X,0.01,0.39,0,,,,,,,,39%
MSY1,YPL097W,P48527,Mitochondrial tyrosyl-tRNA synthetase,1.81,10.54,0.16,,X,,,0.02,0.92,0,,X,,,,,,92%
MTC3,YGL226W,P53077,Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion; mtc3 is synthetically sick with cdc13-1,0.32,1.38,0,,,X,,0,0,0.9,,X,,,,,,90%
MTF1,YMR228W,P14908,"Mitochondrial RNA polymerase specificity factor; has structural similarity to S-adenosylmethionine-dependent methyltransferases and functional similarity to bacterial sigma-factors; Mtf1p interacts with and stabilizes the Rpo41p-promoter complex, enhancing DNA bending and melting to facilitate pre-initiation open complex formation",1.75,11.49,0.29,,X,,,0.02,0.93,0,,X,X,,,,,93%
MTF2,YDL044C,P10849,Mitochondrial protein that interacts with mitochondrial RNA polymerase; interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing and translation to transcription,0.79,4.39,0.19,,X,,,0,0.8,0.05,,X,,,,,,80%
MTG1,YMR097C,Q03151,"Putative GTPase peripheral to the mitochondrial inner membrane; essential for respiratory competence, likely functions in assembly of the large ribosomal subunit, has homologs in plants and animals",0.42,5.02,0.08,,X,,,0,0.87,0.06,,X,,,,,,87%
MTG2,YHR168W,P38860,"Putative GTPase; member of the Obg family; peripheral protein of the mitochondrial inner membrane that associates with the large ribosomal subunit; required for mitochondrial translation, possibly via a role in ribosome assembly",0.88,5.05,0.1,,X,,,0,0.86,0.02,,X,,,,,,86%
MTM1,YGR257C,P53320,Mitochondrial protein of the mitochondrial carrier family; high affinity pyridoxal 5&#8242;-phosphate transporter; involved in mitochondrial iron homeostasis and in activating mitochondrial Sod2p by facilitating insertion of an essential manganese cofactor,0.72,0.73,0,,,X,,0,0,0.82,,X,,,,,,82%
MTO1,YGL236C,P53070,Mitochondrial protein; forms a heterodimer complex with Mss1p that performs the 5-carboxymethylaminomethyl modification of the wobble uridine base in mitochondrial tRNAs; required for respiration in paromomycin-resistant 15S rRNA mutants,1.15,5.78,0.14,,X,,,0,0.88,0,,X,,,,,,88%
MXR1,YER042W,P40029,Methionine-S-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan; reduced activity of human homolog implicated in Alzheimer disease,10,7.76,22.24,X,,,,0.88,0,0,,,,X,,,,88%
MXR2,YCL033C,P25566,Methionine-R-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR1; involved in the regulation of lifespan,7.08,9.52,0,X,,,,0.94,0,0,,,,X,,,,94%
MYO3,YKL129C,P36006,"One of two type I myosins; localizes to actin cortical patches; deletion of MYO3 has little effect on growth, but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization; MYO3 has a paralog, MYO5, that arose from the whole genome duplication",0.73,3.25,4.14,,,,X,0,0.47,0.23,,,,,,,,47%
MYO5,YMR109W,Q04439,"One of two type I myosin motors; contains proline-rich tail homology 2 (TH2) and SH3 domains; MYO5 deletion has little effect on growth, but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization; MYO5 has a paralog, MYO3, that arose from the whole genome duplication",0.97,2.56,3.17,,,,X,0,0.13,0.22,,,,,,,,22%
MZM1,YDR493W,Q03429,"Protein required for assembly of the cytochrome bc(1) complex; acts as a chaperone for Rip1p and facilitates its insertion into the complex at a late stage of assembly; localized to the mitochondrial matrix; null mutant exhibits a respiratory growth defect and reduced mitochondrial zinc levels, which is characteristic of mutations affecting bc(1) complex assembly; member of the LYR protein family; human LYRM7 is a functional ortholog",7.71,10.97,0.13,X,,,,0.97,0,0,,,,X,,,,97%
NAM2,YLR382C,P11325,Mitochondrial leucyl-tRNA synthetase; also has a direct role in splicing of several mitochondrial group I introns; indirectly required for mitochondrial genome maintenance,1.98,10.17,0.27,,X,,,0.04,0.89,0,,X,,,,,,89%
NAM9,YNL137C,P27929,Mitochondrial ribosomal component of the small subunit,0.69,1.71,0.38,,,X,,0,0.01,0.71,,X,,,,,,71%
NAT2,YGR147C,P37293,Protein of unknown function; has an apparent role in acetylation of N-terminal methionine residues,0.26,0.62,0.31,,,X,,0,0,0.95,,X,,,,,,95%
NCA2,YPR155C,Q12374,Protein that regulates expression of Fo-F1 ATP synthase subunits; involved in the regulation of mitochondrial expression of subunits 6 (Atp6p) and 8 (Atp8p) of the Fo-F1 ATP synthase; functions with Nca3p,0.26,0.16,0.19,,,X,,0,0,0.97,X,,,,,,,97%
NCE102,YPR149W,Q12207,"Protein of unknown function; contains transmembrane domains; involved in secretion of proteins that lack classical secretory signal sequences; component of the detergent-insoluble glycolipid-enriched complexes (DIGs); NCE102 has a paralog, FHN1, that arose from the whole genome duplication",0.12,0.03,1.59,,,X,,0,0,0.56,,X,,,,,,56%
NCE103,YNL036W,P53615,"Carbonic anhydrase; metalloenzyme that catalyzes CO2 hydration to bicarbonate, which is an important metabolic substrate, and protons; not expressed under conditions of high CO2, such as inside a growing colony, but transcription is induced in response to low CO2 levels, such as on the colony surface in ambient air; poorly transcribed under aerobic conditions and at an undetectable level under anaerobic conditions; abundance increases in response to DNA replication stress",4.06,4.86,##,,,,X,0.11,0.03,0,,,X,,,,,11%
NCP1,YHR042W,P16603,NADP-cytochrome P450 reductase; involved in ergosterol biosynthesis; associated and coordinately regulated with Erg11p,0.61,0.56,3.43,,,X,,0,0,0.91,X,,,,,,,91%
NDE1,YMR145C,P40215,"Mitochondrial external NADH dehydrogenase; type II NAD(P)H:quinone oxidoreductase that catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p provide cytosolic NADH to the mitochondrial respiratory chain; NDE1 has a paralog, NDE2, that arose from the whole genome duplication",0.22,0.33,0.46,,,X,,0,0,0.96,,X,,,,,,96%
NDE2,YDL085W,Q07500,"Mitochondrial external NADH dehydrogenase; catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain; NDE2 has a paralog, NDE1, that arose from the whole genome duplication",0.25,0.51,1.4,,,X,,0,0,0.96,,X,,,,,,96%
NDI1,YML120C,P32340,"NADH:ubiquinone oxidoreductase; transfers electrons from NADH to ubiquinone in the respiratory chain but does not pump protons, in contrast to the higher eukaryotic multisubunit respiratory complex I; phosphorylated; involved in Mn and H2O2 induced apoptosis; upon apoptotic stress, Ndip is activated in the mitochondria by N-terminal cleavage, and the truncated protein translocates to the cytoplasm to induce apoptosis; homolog of human AMID",0.33,1.13,0.37,,,X,,0,0,0.93,,X,,,,,,93%
NFS1,YCL017C,P25374,Cysteine desulfurase; involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria,2.01,18.37,0.46,,X,,,0.04,0.92,0,,X,,,,,,92%
NFU1,YKL040C,P32860,"Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria",10.77,18.27,0.53,X,,,,0.98,0,0,,,,X,,,,98%
NGL1,YOL042W,Q08213,"Putative endonuclease; has a domain similar to a magnesium-dependent endonuclease motif in mRNA deadenylase Ccr4p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",0.65,9.03,0,,X,,,0,0.97,0,,X,,,,,,97%
NIF3,YGL221C,P53081,"Protein of unknown function; similar to Listeria monocytogenes major sigma factor (rpoD gene product); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",7.81,4.21,0.84,,,,X,0.07,0,0,,,,,,,,7%
NIT2,YJL126W,P47016,Nit protein; one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member,2.22,1.04,0.36,,,,X,0,0,0,,,,,,,,0%
NIT3,YLR351C,P49954,Nit protein; one of two proteins in S. cerevisiae with similarity to the Nit domain of NitFhit from fly and worm and to the mouse and human Nit protein which interacts with the Fhit tumor suppressor; nitrilase superfamily member,11.34,13.78,0.45,X,,,,0.98,0,0,,,,X,,,,98%
NSP1,YJL041W,P14907,"FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) nuclear basket; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier; found in stable complex with Nup82p, Gle2p and two other FG-nucleoporins (Nup159p and Nup116p); also found in stable complex with Nic96p and two other FG-nucleoproteins (Nup49p and Nup57p)",1.65,2.1,19.11,,,,X,0,0.01,0.01,,,,,,,,1%
NTA1,YJR062C,P40354,Amidase; removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation,1.69,1.16,0.25,,,,X,0,0,0.02,,,,,,,,2%
NUC1,YJL208C,P08466,"Major mitochondrial nuclease; has RNAse and DNA endo- and exonucleolytic activities; roles in mitochondrial recombination, apoptosis and maintenance of polyploidy; involved in fragmentation of genomic DNA during PND (programmed nuclear destruction); encodes ortholog of mammalian endoG",0.43,1.88,0.26,,,X,,0,0.03,0.83,X,,,,,,,83%
NUM1,YDR150W,Q00402,Protein required for nuclear migration; component of the mitochondria-ER-cortex-ancor (MECA); required for the association of mitochondria with the cell cortex and for accurate distribution of mitochondrial network; interacts with Mdm36p to link the ER and motochondria at the cortex; localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex,1.67,3.13,14.48,,,,X,0,0.09,0.01,,,,,,,,9%
NUP100,YKL068W,Q02629,"FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; NUP100 has a paralog, NUP116, that arose from the whole genome duplication",12.05,0.77,2.4,,,,X,0,0,0,,,,,,,,0%
NUP116,YMR047C,Q02630,"FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; forms a stable association with Nup82p, Gle2p and two other FG-nucleoporins (Nsp1p and Nup159p); NUP116 has a paralog, NUP100, that arose from the whole genome duplication",11.74,8.76,11.72,X,,,,0.93,0,0,,,,X,,,,93%
NUP57,YGR119C,P48837,FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup49p),4.02,13.03,5.26,X,,,,0.78,0.17,0,,,,X,,,,78%
NVJ2,YPR091C,Q06833,"Lipid-binding ER protein, enriched at nucleus-vacuolar junctions (NVJ); may be involved in sterol metabolism or signaling at the NVJ; contains a synaptotagmin-like-mitochondrial-lipid binding protein (SMP) domain; binds phosphatidylinositols and other lipids in a large-scale study; may interact with ribosomes, based on co-purification experiments",2.07,1.04,13.52,,,,X,0,0,0,,,,,,,,0%
OAC1,YKL120W,P32332,"Mitochondrial inner membrane transporter; transports oxaloacetate, sulfate, thiosulfate, and isopropylmalate; member of the mitochondrial carrier family",0.18,0.17,0.11,,,X,,0,0,0.94,,X,,,,,,94%
OAR1,YKL055C,P35731,Mitochondrial 3-oxoacyl-[acyl-carrier-protein] reductase; may comprise a type II mitochondrial fatty acid synthase along with Mct1p,1.41,6.49,0.07,,X,,,0,0.87,0,,X,,,,,,87%
OCT1,YKL134C,P35999,"Mitochondrial intermediate peptidase; cleaves destabilizing N-terminal residues of a subset of proteins upon import, after their cleavage by mitochondrial processing peptidase (Mas1p-Mas2p); may contribute to mitochondrial iron homeostasis",2.02,9.88,0.33,,X,,,0.05,0.87,0,,X,,,,,,87%
ODC1,YPL134C,Q03028,"Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for lysine and glutamate biosynthesis and lysine catabolism; suppresses, in multicopy, an fmc1 null mutation; ODC1 has a paralog, ODC2, that arose from the whole genome duplication",0.19,0.15,0.27,,,X,,0,0,0.95,,X,,,,,,95%
ODC2,YOR222W,Q99297,"Mitochondrial inner membrane transporter; 2-oxodicarboxylate transporter, exports 2-oxoadipate and 2-oxoglutarate from the mitochondrial matrix to the cytosol for use in lysine and glutamate biosynthesis and in lysine catabolism; ODC2 has a paralog, ODC1, that arose from the whole genome duplication",0.2,0.18,0.21,,,X,,0,0,0.95,,X,,,,,,95%
OLA1,YBR025C,P38219,P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress,0.55,4.58,15.27,,X,,,0,0.84,0.07,,X,,,,,,84%
OLI1,Q0130,P61829,F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2,--,0.02,##,,,X,,0,0,0,,X,,,,,,0%
OM14,YBR230C,P38325,"Mitochondrial outer membrane receptor for cytosolic ribosomes; integral protein of the outer membrane that interacts with the nascent chain-associated complex (NAC) bound to ribosomes, contributing to co-translational mitochondrial import; interacts with porin (Por1p) and Om45p; abundance is decreased in cells grown in glucose relative to other carbon sources",0.4,5.98,0.16,,X,,,0,0.92,0.03,X,,,,,,,92%
OM45,YIL136W,P16547,"Mitochondrial outer membrane protein of unknown function; major constituent of the outer membrane, located on the outer (cytosolic) face; interacts with porin (Por1p) and with Om14p; imported via the presequence pathway involving the TOM and TIM23 complexes, then assembled in the outer membrane by Mim1p; protein abundance increases in response to DNA replication stress",1.12,2.69,1.61,,,,X,0,0.13,0.11,X,,,,,,,13%
OMA1,YKR087C,P36163,Metalloendopeptidase of the mitochondrial inner membrane; important for adaptive responses to various homeostatic insults and preservation of normal mitochondrial function under damage-eliciting conditions; involved in turnover of membrane-embedded proteins; mediates degradation of Cox1p in coa2 mutant cells; member of a family of predicted membrane-bound metallopeptidases in prokaryotes and higher eukaryotes,0.18,2.83,0.16,,,X,,0,0.54,0.2,,X,,,,,,54%
OMS1,YDR316W,Q06668,Protein integral to the mitochondrial membrane; has a conserved methyltransferase motif and is predicted to be an RNA methyltransferase; multicopy suppressor of respiratory defects caused by OXA1 mutations,0.25,0.36,0.3,,,X,,0,0,0.96,,X,,,,,,96%
ORT1,YOR130C,Q12375,Ornithine transporter of the mitochondrial inner membrane; exports ornithine from mitochondria as part of arginine biosynthesis; human ortholog is associated with hyperammonaemia-hyperornithinaemia-homocitrullinuria (HHH) syndrome,0.17,0.23,0,,,X,,0,0,0.92,,X,,,,,,92%
OSH2,YDL019C,Q12451,"Member of an oxysterol-binding protein family with seven members; in S. cerevisiae, family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; OSH2 has a paralog, SWH1, that arose from the whole genome duplication",0.53,6.49,10.43,,X,,,0,0.94,0.02,,X,,,,,,94%
OSM1,YJR051W,P21375,"Fumarate reductase, catalyzes the reduction of fumarate to succinate; required for the reoxidation of intracellular NADH under anaerobic conditions; mutations cause osmotic sensitivity; has two translation start sites, one at the annotated start codon which produces an ER-targeted form required for anaerobic growth, and one at codon 32 which produces a mitochondrially-targeted form; OSM1 has a paralog, FRD1, that arose from the whole genome duplication",13.72,9.44,1.43,X,,,,0.94,0,0,,,,X,,,,94%
OST2,YOR103C,P46964,Epsilon subunit of the oligosaccharyltransferase complex; located in the ER lumen; catalyzes asparagine-linked glycosylation of newly synthesized proteins,10.77,0.39,0,,,,X,0,0,0,,,,,,,,0%
OXA1,YER154W,P39952,"Mitochondrial inner membrane insertase; mediates the insertion of both mitochondrial- and nuclear-encoded proteins from the matrix into the inner membrane; also has a role in insertion of carrier proteins into the inner membrane; acts as a voltage-gated ion channel, activated by substrate peptides; interacts with mitochondrial ribosomes; conserved from bacteria to animals",0.29,0.11,0.27,,,X,,0,0,0.97,,X,,,,,,97%
PAM16,YJL104W,P42949,Subunit of the import motor (PAM complex); the PAM complex is a  component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain,0.87,6.65,0.38,,X,,,0,0.94,0.01,,X,,,,,,94%
PAM17,YKR065C,P36147,Constituent of the TIM23 complex; proposed alternatively to be a component of the import motor (PAM complex) or to interact with and modulate the core TIM23 (Translocase of the Inner mitochondrial Membrane) complex; protein abundance increases in response to DNA replication stress,0.21,0.93,0.33,,,X,,0,0,0.9,,X,,,,,,90%
PAM18,YLR008C,Q07914,Subunit of the import motor (PAM complex); the PAM complex is a  component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); essential J-protein cochaperone that stimulates Ssc1p ATPase activity to drive import; inhibited by Pam16p,0.62,9.61,0,,X,,,0,0.97,0,,X,,,,,,97%
PAN1,YIR006C,P32521,Part of actin cytoskeleton-regulatory complex Pan1p-Sla1p-End3p; associates with actin patches on cell cortex; promotes protein-protein interactions essential for endocytosis; binds to and activates Arp2/3 complex in vitro; phosphorylation of Thr-1225 is regulated by MAPK Hog1p in response to osmotic stress; previously thought to be a subunit of poly(A) ribonuclease,1.42,3.02,120.82,,,,X,0,0.13,0.02,,,,,,,,13%
PAN5,YHR063C,P38787,"2-dehydropantoate 2-reductase; part of the pantothenic acid pathway, structurally homologous to E. coli panE",6.71,13.76,0.6,X,,,,0.97,0.01,0,,,,X,,,,97%
PAR32,YDL173W,Q12515,Putative protein of unknown function; hyperphosphorylated upon rapamycin treatment in a Tap42p-dependent manner; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; PAR32 is not an essential gene,1.14,1.87,6.61,,,,X,0,0.01,0.17,,,,,,,,17%
PBI2,YNL015W,P0CT04,"Cytosolic inhibitor of vacuolar proteinase B (PRB1); required for efficient vacuole inheritance; with thioredoxin forms protein complex LMA1, which assists in priming SNARE molecules and promotes vacuole fusion; protein abundance increases in response to DNA replication stress",5.24,7.89,14.28,X,,,,0.82,0.02,0,,,,X,,,,82%
PBP1,YGR178C,P53297,Component of glucose deprivation induced stress granules; involved in P-body-dependent granule assembly; similar to human ataxin-2; interacts with Pab1p to regulate mRNA polyadenylation; interacts with Mkt1p to regulate HO translation; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress,4.82,5.51,0.85,,,,X,0.31,0.02,0,,,,,,,,31%
PBP4,YDL053C,Q07362,Pbp1p binding protein; interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay; relative distribution to the nucleus increases upon DNA replication stress,5.66,20.00*,1.62,X,,,,0,0,0,,,,X,,,,0%
PCD1,YLR151C,Q12524,"8-oxo-dGTP diphosphatase; prevents spontaneous mutagenesis via sanitization of oxidized purine nucleoside triphosphates; can also act as peroxisomal pyrophosphatase with specificity for coenzyme A and CoA derivatives, may function to remove potentially toxic oxidized CoA disulfide from peroxisomes to maintain the capacity for beta-oxidation of fatty acids; nudix hydrolase family member; similar E. coli MutT and human, rat and mouse MTH1",5.02,13.93,0.41,X,,,,0.91,0.06,0,,,,X,,,,91%
PCP1,YGR101W,P53259,Mitochondrial serine protease; required for the processing of various mitochondrial proteins and maintenance of mitochondrial DNA and morphology; belongs to the rhomboid-GlpG superfamily of intramembrane peptidases,0.44,0.29,0,,,X,,0,0,0.96,,X,,,,,,96%
PCS60,YBR222C,P38137,"Oxalyl-CoA synthetase; capable of catalyzing conversion of oxalate to oxalyl-CoA; catalyzes first step in pathway of oxalate degradation that functions to protect yeast from inhibitory effects of oxalate; peroxisomal protein that binds mRNA; localizes to both peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid; similar to E. coli long chain acyl-CoA synthetase",6.24,8.96,2.21,X,,,,0.91,0.01,0,,,,X,,,,91%
PDA1,YER178W,P16387,"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex; catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose; PDH complex is concentrated in spots within the mitochondrial matrix, often near the ERMES complex and near peroxisomes",5.49,21.93,0.46,X,,,,0.88,0.1,0,,,,X,,,,88%
PDB1,YBR221C,P32473,E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria,4.9,24.71,0.72,X,,,,0.75,0.21,0,,,,X,,,,75%
